"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-01","2022","01","01","","-7.0","","-34.7","","-20.9","","38.9","","0.0","","0.0","","0.0","T","0.0","T","32","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-02","2022","01","02","","-4.5","","-21.8","","-13.2","","31.2","","0.0","","0.0","","0.0","T","0.0","T","32","","36","","44",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-03","2022","01","03","","-21.8","","-25.9","","-23.9","","41.9","","0.0","","0.0","","6.8","","6.1","","35","","5","","32",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-04","2022","01","04","","-25.3","","-33.4","","-29.4","","47.4","","0.0","","0.0","","0.9","","0.9","","35","","34","","37",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-05","2022","01","05","","-27.0","","-33.4","","-30.2","","48.2","","0.0","","0.0","","0.0","T","0.0","T","35","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-06","2022","01","06","","-26.4","","-33.8","","-30.1","","48.1","","0.0","","0.0","","0.0","T","0.0","T","35","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-07","2022","01","07","","-24.8","","-30.5","","-27.7","","45.7","","0.0","","0.0","","6.4","","6.0","","35","","33","","33",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-08","2022","01","08","","-23.4","","-34.7","","-29.1","","47.1","","0.0","","0.0","","0.0","T","0.0","T","41","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-09","2022","01","09","","-14.3","","-23.4","","-18.9","","36.9","","0.0","","0.0","","1.4","","1.4","","42","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-10","2022","01","10","","1.6","","-19.6","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","42","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-11","2022","01","11","","3.7","","-8.3","","-2.3","","20.3","","0.0","","0.0","T","0.0","","0.0","T","42","","26","","33",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-12","2022","01","12","","1.6","","-6.5","","-2.5","","20.5","","0.0","","0.0","T","0.0","","0.0","T","42","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-13","2022","01","13","","1.4","","-3.7","","-1.2","","19.2","","0.0","","0.7","","0.0","T","0.7","","42","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-14","2022","01","14","","-2.2","","-13.6","","-7.9","","25.9","","0.0","","0.0","","0.0","","0.0","","31","","18","","38",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-15","2022","01","15","","4.4","","-8.5","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","31","","29","","35",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-16","2022","01","16","","0.3","","-9.2","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","31","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-17","2022","01","17","","1.4","","-16.4","","-7.5","","25.5","","0.0","","3.8","","4.2","","7.8","","31","","34","","73",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-18","2022","01","18","","-16.5","","-34.2","","-25.4","","43.4","","0.0","","0.0","","0.0","T","0.0","T","35","","34","","54",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-19","2022","01","19","","-18.4","","-34.2","","-26.3","","44.3","","0.0","","0.0","","0.0","T","0.0","T","33","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-20","2022","01","20","","5.0","","-19.1","","-7.1","","25.1","","0.0","","0.0","","0.0","T","0.0","T","33","","30","","57",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-21","2022","01","21","","2.8","","-6.1","","-1.7","","19.7","","0.0","","0.0","","0.4","","0.4","","28","","32","","52",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-22","2022","01","22","","6.7","","0.0","","3.4","","14.6","","0.0","","0.0","T","0.0","","0.0","T","28","","31","","42",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-23","2022","01","23","","6.1","","-0.8","","2.7","","15.3","","0.0","","0.0","","0.0","T","0.0","T","27","","32","","71",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-24","2022","01","24","","2.8","","-6.4","","-1.8","","19.8","","0.0","","0.0","","3.0","","2.8","","26","","31","","41",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-25","2022","01","25","","4.3","","-6.8","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","28","","30","","47",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-26","2022","01","26","","3.8","","-2.6","","0.6","","17.4","","0.0","","0.0","","0.8","","0.8","","28","","32","","65",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-27","2022","01","27","","-1.4","","-11.7","","-6.6","","24.6","","0.0","","0.0","","0.0","","0.0","","24","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-28","2022","01","28","","3.8","","-8.9","","-2.6","","20.6","","0.0","","0.0","","0.0","","0.0","","24","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-29","2022","01","29","","2.0","","-4.1","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","24","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-30","2022","01","30","","2.6","","-8.1","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","24","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-01-31","2022","01","31","","-1.3","","-21.3","","-11.3","","29.3","","0.0","","0.0","","1.4","","1.4","","24","","34","","80",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-01","2022","02","01","","-17.4","","-23.1","","-20.3","","38.3","","0.0","","0.0","","0.0","T","0.0","T","25","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-02","2022","02","02","","-18.2","","-34.3","","-26.3","","44.3","","0.0","","0.0","","0.0","T","0.0","T","25","","17","","45",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-03","2022","02","03","","-17.5","","-19.9","","-18.7","","36.7","","0.0","","0.0","","1.9","","1.9","","26","","13","","34",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-04","2022","02","04","","0.4","","-19.7","","-9.7","","27.7","","0.0","","0.0","","1.1","","1.1","","26","","14","","42",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-05","2022","02","05","","4.3","","-4.4","","-0.1","","18.1","","0.0","","0.0","","1.4","","1.4","","26","","28","","60",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-06","2022","02","06","","7.6","","-4.7","","1.5","","16.5","","0.0","","0.0","","0.0","T","0.0","T","26","","26","","38",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-07","2022","02","07","","7.0","","-1.1","","3.0","","15.0","","0.0","","0.0","T","0.0","","0.0","T","23","","29","","54",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-08","2022","02","08","","5.3","","-4.3","","0.5","","17.5","","0.0","","0.0","","0.0","T","0.0","T","23","","27","","45",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-09","2022","02","09","","6.2","","-0.6","","2.8","","15.2","","0.0","","0.4","","0.0","T","0.4","","23","","24","","32",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-10","2022","02","10","","10.1","","-0.4","","4.9","","13.1","","0.0","","0.0","","0.0","T","0.0","T","23","","29","","85",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-11","2022","02","11","","0.2","","-4.9","","-2.4","","20.4","","0.0","","0.0","","0.0","T","0.0","T","23","","31","","71",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-12","2022","02","12","","3.4","","-5.1","","-0.9","","18.9","","0.0","","0.0","","0.0","","0.0","","23","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-13","2022","02","13","","6.7","","-3.8","","1.5","","16.5","","0.0","","0.0","","0.0","","0.0","","15","","31","","58",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-14","2022","02","14","","-1.5","","-7.0","","-4.3","","22.3","","0.0","","0.0","","1.8","","1.8","","15","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-15","2022","02","15","","-3.0","","-10.5","","-6.8","","24.8","","0.0","","0.0","","0.4","","0.4","","17","","32","","44",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-16","2022","02","16","","-10.5","","-14.9","","-12.7","","30.7","","0.0","","0.0","","1.1","","1.1","","17","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-17","2022","02","17","","4.0","","-13.9","","-5.0","","23.0","","0.0","","0.0","","1.6","","1.6","","18","","29","","57",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-18","2022","02","18","","-2.9","","-14.4","","-8.7","","26.7","","0.0","","0.0","","1.6","","1.6","","19","","36","","57",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-19","2022","02","19","","5.9","","-14.8","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","19","","3","","52",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-20","2022","02","20","","-14.7","","-19.1","","-16.9","","34.9","","0.0","","0.0","","1.2","","1.2","","19","","1","","35",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-21","2022","02","21","","-18.4","","-29.1","","-23.8","","41.8","","0.0","","0.0","","0.2","","0.2","","20","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-22","2022","02","22","","-17.6","","-28.8","","-23.2","","41.2","","0.0","","0.0","","0.0","T","0.0","T","20","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-23","2022","02","23","","-12.1","","-25.7","","-18.9","","36.9","","0.0","","0.0","","0.3","","0.3","","20","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-24","2022","02","24","","-6.4","","-17.0","","-11.7","","29.7","","0.0","","0.0","","1.2","","1.2","","20","","34","","41",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-25","2022","02","25","","-1.9","","-22.3","","-12.1","","30.1","","0.0","","0.0","","0.0","","0.0","","21","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-26","2022","02","26","","3.0","","-12.2","","-4.6","","22.6","","0.0","","0.0","","0.0","","0.0","","21","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-27","2022","02","27","","-2.1","","-9.9","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","21","","11","","42",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-02-28","2022","02","28","","-3.7","","-15.8","","-9.8","","27.8","","0.0","","0.0","","0.0","T","0.0","T","21","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-01","2022","03","01","","-4.7","","-10.8","","-7.8","","25.8","","0.0","","0.0","","0.6","","0.6","","21","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-02","2022","03","02","","-6.1","","-8.6","","-7.4","","25.4","","0.0","","0.0","","0.0","T","0.0","T","21","","13","","36",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-03","2022","03","03","","-8.6","","-11.6","","-10.1","","28.1","","0.0","","0.0","","7.1","","7.1","","9","","9","","33",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-04","2022","03","04","","-8.4","","-21.7","","-15.1","","33.1","","0.0","","0.0","","3.6","","3.6","","19","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-05","2022","03","05","","-3.4","","-20.8","","-12.1","","30.1","","0.0","","0.0","","0.3","","0.3","","20","","","M","","M"
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-06","2022","03","06","","-2.3","","-15.8","","-9.1","","27.1","","0.0","","0.0","","0.0","T","0.0","T","20","","18","","32",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-07","2022","03","07","","4.8","","-7.4","","-1.3","","19.3","","0.0","","0.0","","0.0","T","0.0","T","20","","32","","69",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-08","2022","03","08","","-6.5","","-16.7","","-11.6","","29.6","","0.0","","0.0","","0.8","","0.8","","20","","35","","60",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-09","2022","03","09","","-9.7","","-21.3","","-15.5","","33.5","","0.0","","0.0","","0.0","T","0.0","T","20","","26","","31",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-10","2022","03","10","","-5.0","","-23.2","","-14.1","","32.1","","0.0","","0.0","","0.0","","0.0","","20","","33","","51",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-11","2022","03","11","","-1.8","","-24.9","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","20","","18","","37",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-12","2022","03","12","","4.6","","-5.2","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","20","","32","","60",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-13","2022","03","13","","-1.5","","-8.7","","-5.1","","23.1","","0.0","","0.0","","0.0","T","0.0","T","20","","34","","36",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-14","2022","03","14","","3.8","","-9.4","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","T","20","","34","","33",""
"-113.58","53.31","EDMONTON INTL A","3012216","2022-03-15","2022","03","15","","7.7","","-6.1","","0.8","","17.2","","0.0","","0.0","","0.0","","0.0","","10","","32","","49",""
