date,max_dew_point_v,max_dew_point_s,max_dew_point_c,max_dew_point_d,max_relative_humidity_v,max_relative_humidity_s,max_relative_humidity_c,max_relative_humidity_d,max_temperature_v,max_temperature_s,max_temperature_c,max_temperature_d,max_wind_speed_v,max_wind_speed_s,max_wind_speed_c,max_wind_speed_d,min_dew_point_v,min_dew_point_s,min_dew_point_c,min_dew_point_d,min_relative_humidity_v,min_relative_humidity_s,min_relative_humidity_c,min_relative_humidity_d,min_temperature_v,min_temperature_s,min_temperature_c,min_temperature_d,min_wind_speed_v,min_wind_speed_s,min_wind_speed_c,min_wind_speed_d,precipitation_v,precipitation_s,precipitation_c,precipitation_d,rain_v,rain_s,rain_c,rain_d,snow_v,snow_s,snow_c,snow_d,snow_on_ground_v,snow_on_ground_s,snow_on_ground_c,snow_on_ground_d,solar_radiation_v,solar_radiation_s,solar_radiation_c,solar_radiation_d
2023-11-11,-4.14,5.16,450,"1993-11-04 2022-11-18",87.63,9.68,450,"1993-11-04 2022-11-18",1.42,6.59,450,"1993-11-04 2022-11-18",20.13,7.89,450,"1993-11-04 2022-11-18",-9.46,5.29,450,"1993-11-04 2022-11-18",61.61,16.03,450,"1993-11-04 2022-11-18",-6.71,5.6,450,"1993-11-04 2022-11-18",2.97,3.37,450,"1993-11-04 2022-11-18",0.66,1.64,445,"1993-11-04 2022-11-18",,,,,,,,,,,,,,,,
2023-11-10,-3.93,5.07,450,"1993-11-03 2022-11-17",87.7,9.64,450,"1993-11-03 2022-11-17",1.73,6.59,450,"1993-11-03 2022-11-17",19.83,7.5,450,"1993-11-03 2022-11-17",-9.21,5.23,450,"1993-11-03 2022-11-17",61.35,16.4,450,"1993-11-03 2022-11-17",-6.48,5.54,450,"1993-11-03 2022-11-17",2.9,3.34,450,"1993-11-03 2022-11-17",0.66,1.68,444,"1993-11-04 2022-11-17",,,,,,,,,,,,,,,,
2023-11-09,-3.69,4.99,449,"1993-11-02 2022-11-16",87.68,9.87,449,"1993-11-02 2022-11-16",2.06,6.49,450,"1993-11-02 2022-11-16",19.71,7.36,450,"1993-11-02 2022-11-16",-8.93,5.19,449,"1993-11-02 2022-11-16",61.15,16.62,449,"1993-11-02 2022-11-16",-6.15,5.48,450,"1993-11-02 2022-11-16",2.91,3.31,450,"1993-11-02 2022-11-16",0.69,1.73,443,"1993-11-04 2022-11-16",,,,,,,,,,,,,,,,
2023-11-08,-3.51,4.94,449,"1993-11-01 2022-11-15",87.43,10.16,449,"1993-11-01 2022-11-15",2.39,6.44,450,"1993-11-01 2022-11-15",19.78,7.29,450,"1993-11-01 2022-11-15",-8.69,5.15,449,"1993-11-01 2022-11-15",60.41,16.93,449,"1993-11-01 2022-11-15",-5.83,5.45,450,"1993-11-01 2022-11-15",2.93,3.33,450,"1993-11-01 2022-11-15",0.7,1.71,443,"1993-11-01 2022-11-15",,,,,,,,,,,,,,,,
2023-11-07,-3.36,4.91,449,"1993-10-31 2022-11-14",87.24,10.2,449,"1993-10-31 2022-11-14",2.66,6.44,450,"1993-10-31 2022-11-14",19.86,7.35,450,"1993-10-31 2022-11-14",-8.56,5.14,449,"1993-10-31 2022-11-14",59.64,16.93,449,"1993-10-31 2022-11-14",-5.63,5.45,450,"1993-10-31 2022-11-14",2.9,3.3,450,"1993-10-31 2022-11-14",0.67,1.64,443,"1993-10-31 2022-11-14",,,,,,,,,,,,,,,,
2023-11-06,-3.29,4.92,449,"1993-10-30 2022-11-13",86.9,10.44,449,"1993-10-30 2022-11-13",2.91,6.49,450,"1993-10-30 2022-11-13",19.91,7.38,450,"1993-10-30 2022-11-13",-8.45,5.16,449,"1993-10-30 2022-11-13",59.08,17.12,449,"1993-10-30 2022-11-13",-5.51,5.45,450,"1993-10-30 2022-11-13",2.96,3.34,450,"1993-10-30 2022-11-13",0.67,1.64,442,"1993-10-30 2022-11-13",,,,,,,,,,,,,,,,
2023-11-05,-3.23,4.91,449,"1993-10-29 2022-11-12",86.76,10.58,449,"1993-10-29 2022-11-12",3.01,6.48,450,"1993-10-29 2022-11-12",20.07,7.07,450,"1993-10-29 2022-11-12",-8.38,5.19,449,"1993-10-29 2022-11-12",58.73,17.16,449,"1993-10-29 2022-11-12",-5.38,5.49,450,"1993-10-29 2022-11-12",3.06,3.32,450,"1993-10-29 2022-11-12",0.65,1.62,442,"1993-10-29 2022-11-12",,,,,,,,,,,,,,,,
2023-11-04,-3.09,4.92,449,"1993-10-28 2022-11-11",86.67,10.63,449,"1993-10-28 2022-11-11",3.2,6.53,450,"1993-10-28 2022-11-11",20.49,7.46,450,"1993-10-28 2022-11-11",-8.2,5.16,449,"1993-10-28 2022-11-11",58.44,17.44,449,"1993-10-28 2022-11-11",-5.14,5.43,450,"1993-10-28 2022-11-11",3.06,3.37,450,"1993-10-28 2022-11-11",0.69,1.68,442,"1993-10-28 2022-11-11",,,,,,,,,,,,,,,,
2023-11-03,-2.72,4.81,449,"1993-10-27 2022-11-10",86.41,11.14,449,"1993-10-27 2022-11-10",3.78,6.52,450,"1993-10-27 2022-11-10",21.16,8.07,450,"1993-10-27 2022-11-10",-7.9,4.97,449,"1993-10-27 2022-11-10",57.52,18.09,449,"1993-10-27 2022-11-10",-4.67,5.26,450,"1993-10-27 2022-11-10",3.24,3.41,450,"1993-10-27 2022-11-10",0.71,1.69,442,"1993-10-27 2022-11-10",,,,,,,,,,,,,,,,
2023-11-02,-2.3,4.64,449,"1993-10-26 2022-11-09",86.16,11.47,449,"1993-10-26 2022-11-09",4.34,6.32,450,"1993-10-26 2022-11-09",21.49,8.32,450,"1993-10-26 2022-11-09",-7.61,4.8,449,"1993-10-26 2022-11-09",56.38,18.42,449,"1993-10-26 2022-11-09",-4.17,5.11,450,"1993-10-26 2022-11-09",3.25,3.41,450,"1993-10-26 2022-11-09",0.67,1.57,443,"1993-10-26 2022-11-09",,,,,,,,,,,,,,,,
2023-11-01,-1.96,4.52,449,"1993-10-25 2022-11-08",85.93,11.73,449,"1993-10-25 2022-11-08",4.89,6.17,450,"1993-10-25 2022-11-08",21.8,8.58,450,"1993-10-25 2022-11-08",-7.22,4.69,449,"1993-10-25 2022-11-08",55.55,18.69,449,"1993-10-25 2022-11-08",-3.72,4.91,450,"1993-10-25 2022-11-08",3.33,3.63,450,"1993-10-25 2022-11-08",0.63,1.51,442,"1993-10-25 2022-11-08",,,,,,,,,,,,,,,,
2023-10-31,-1.64,4.41,449,"1993-10-24 2022-11-07",85.62,12.01,449,"1993-10-24 2022-11-07",5.45,6.16,450,"1993-10-24 2022-11-07",22.26,8.94,450,"1993-10-24 2022-11-07",-6.92,4.62,449,"1993-10-24 2022-11-07",54.63,18.66,449,"1993-10-24 2022-11-07",-3.31,4.83,450,"1993-10-24 2022-11-07",3.42,3.63,450,"1993-10-24 2022-11-07",0.61,1.49,442,"1993-10-24 2022-11-07",,,,,,,,,,,,,,,,
2023-10-30,-1.35,4.3,448,"1993-10-23 2022-11-06",85.5,12.09,448,"1993-10-23 2022-11-06",5.95,6.21,450,"1993-10-23 2022-11-06",22.45,9.21,450,"1993-10-23 2022-11-06",-6.64,4.61,448,"1993-10-23 2022-11-06",53.94,18.99,448,"1993-10-23 2022-11-06",-2.93,4.77,450,"1993-10-23 2022-11-06",3.29,3.61,450,"1993-10-23 2022-11-06",0.65,1.77,443,"1993-10-23 2022-11-06",,,,,,,,,,,,,,,,
2023-10-29,-1.11,4.24,447,"1993-10-22 2022-11-05",85.23,12.19,447,"1993-10-22 2022-11-05",6.48,6.24,450,"1993-10-22 2022-11-05",22.61,9.23,450,"1993-10-22 2022-11-05",-6.39,4.5,447,"1993-10-22 2022-11-05",53.11,19.12,447,"1993-10-22 2022-11-05",-2.58,4.63,450,"1993-10-22 2022-11-05",3.29,3.64,450,"1993-10-22 2022-11-05",0.65,1.76,443,"1993-10-22 2022-11-05",,,,,,,,,,,,,,,,
2023-10-28,-0.87,4.19,446,"1993-10-21 2022-11-04",85.03,12.29,446,"1993-10-21 2022-11-04",6.9,6.18,450,"1993-10-21 2022-11-04",22.69,9.31,450,"1993-10-21 2022-11-04",-6.19,4.34,446,"1993-10-21 2022-11-04",52.19,19.06,446,"1993-10-21 2022-11-04",-2.27,4.41,450,"1993-10-21 2022-11-04",3.26,3.65,450,"1993-10-21 2022-11-04",0.63,1.76,444,"1993-10-21 2022-11-04",,,,,,,,,,,,,,,,
2023-10-27,-0.66,4.11,445,"1993-10-20 2022-11-03",84.71,12.37,445,"1993-10-20 2022-11-03",7.28,6.09,450,"1993-10-20 2022-11-03",22.88,9.29,450,"1993-10-20 2022-11-03",-5.98,4.28,445,"1993-10-20 2022-11-03",51.56,19.16,445,"1993-10-20 2022-11-03",-1.92,4.35,450,"1993-10-20 2022-11-03",3.26,3.68,450,"1993-10-20 2022-11-03",0.59,1.72,443,"1993-10-20 2022-11-03",,,,,,,,,,,,,,,,
2023-10-26,-0.46,4.04,444,"1993-10-19 2022-11-02",84.3,12.55,444,"1993-10-19 2022-11-02",7.69,6.06,450,"1993-10-19 2022-11-02",23.09,9.31,450,"1993-10-19 2022-11-02",-5.73,4.26,444,"1993-10-19 2022-11-02",50.93,19.11,444,"1993-10-19 2022-11-02",-1.59,4.27,450,"1993-10-19 2022-11-02",3.3,3.71,450,"1993-10-19 2022-11-02",0.58,1.69,444,"1993-10-19 2022-11-02",,,,,,,,,,,,,,,,
2023-10-25,-0.27,3.96,445,"1993-10-18 2022-11-01",83.97,12.68,445,"1993-10-18 2022-11-01",8.12,6.06,450,"1993-10-18 2022-11-01",23.23,9.28,450,"1993-10-18 2022-11-01",-5.53,4.19,445,"1993-10-18 2022-11-01",50,18.82,445,"1993-10-18 2022-11-01",-1.3,4.15,450,"1993-10-18 2022-11-01",3.19,3.66,450,"1993-10-18 2022-11-01",0.56,1.65,445,"1993-10-18 2022-11-01",,,,,,,,,,,,,,,,
2023-10-24,-0.06,3.97,444,"1993-10-17 2022-10-31",83.8,12.61,444,"1993-10-17 2022-10-31",8.56,6.12,450,"1993-10-17 2022-10-31",23.42,9.51,450,"1993-10-17 2022-10-31",-5.32,4.22,444,"1993-10-17 2022-10-31",49.41,18.68,444,"1993-10-17 2022-10-31",-1.05,4.13,450,"1993-10-17 2022-10-31",3.14,3.68,450,"1993-10-17 2022-10-31",0.55,1.67,446,"1993-10-17 2022-10-31",,,,,,,,,,,,,,,,
2023-10-23,0.1,3.95,444,"1993-10-16 2022-10-30",83.7,12.77,444,"1993-10-16 2022-10-30",8.94,6.13,450,"1993-10-16 2022-10-30",23.32,9.56,450,"1993-10-16 2022-10-30",-5.12,4.21,444,"1993-10-16 2022-10-30",48.96,19.16,444,"1993-10-16 2022-10-30",-0.85,4.02,450,"1993-10-16 2022-10-30",3.09,3.63,450,"1993-10-16 2022-10-30",0.57,1.85,446,"1993-10-16 2022-10-30",,,,,,,,,,,,,,,,
2023-10-22,0.33,3.84,444,"1993-10-15 2022-10-29",83.89,12.73,444,"1993-10-15 2022-10-29",9.22,6.03,450,"1993-10-15 2022-10-29",23.46,9.64,450,"1993-10-15 2022-10-29",-4.86,4.12,444,"1993-10-15 2022-10-29",48.75,19.24,444,"1993-10-15 2022-10-29",-0.57,3.86,450,"1993-10-15 2022-10-29",3.07,3.63,450,"1993-10-15 2022-10-29",0.58,1.86,447,"1993-10-15 2022-10-29",,,,,,,,,,,,,,,,
2023-10-21,0.61,3.7,444,"1993-10-14 2022-10-28",83.7,12.88,444,"1993-10-14 2022-10-28",9.65,5.91,450,"1993-10-14 2022-10-28",23.48,9.68,450,"1993-10-14 2022-10-28",-4.57,3.99,444,"1993-10-14 2022-10-28",48.37,19.22,444,"1993-10-14 2022-10-28",-0.27,3.65,450,"1993-10-14 2022-10-28",3.03,3.59,450,"1993-10-14 2022-10-28",0.62,1.95,447,"1993-10-14 2022-10-28",,,,,,,,,,,,,,,,
2023-10-20,0.83,3.65,444,"1993-10-13 2022-10-27",83.64,12.9,444,"1993-10-13 2022-10-27",10,5.8,450,"1993-10-13 2022-10-27",23.42,9.73,450,"1993-10-13 2022-10-27",-4.35,3.9,444,"1993-10-13 2022-10-27",47.77,18.67,444,"1993-10-13 2022-10-27",-0.05,3.5,450,"1993-10-13 2022-10-27",3.08,3.57,450,"1993-10-13 2022-10-27",0.58,1.91,447,"1993-10-13 2022-10-27",,,,,,,,,,,,,,,,
2023-10-19,0.92,3.65,444,"1993-10-12 2022-10-26",83.68,12.71,444,"1993-10-12 2022-10-26",10.12,5.75,450,"1993-10-12 2022-10-26",23.17,9.48,450,"1993-10-12 2022-10-26",-4.21,3.79,444,"1993-10-12 2022-10-26",47.74,18.21,444,"1993-10-12 2022-10-26",0.03,3.46,450,"1993-10-12 2022-10-26",2.99,3.55,450,"1993-10-12 2022-10-26",0.58,1.94,447,"1993-10-12 2022-10-26",,,,,,,,,,,,,,,,
2023-10-18,0.98,3.59,444,"1993-10-11 2022-10-25",83.66,12.62,444,"1993-10-11 2022-10-25",10.2,5.73,450,"1993-10-11 2022-10-25",23.04,9.38,450,"1993-10-11 2022-10-25",-4.05,3.68,444,"1993-10-11 2022-10-25",47.87,18.2,444,"1993-10-11 2022-10-25",0.12,3.45,450,"1993-10-11 2022-10-25",2.91,3.54,450,"1993-10-11 2022-10-25",0.6,1.94,447,"1993-10-11 2022-10-25",,,,,,,,,,,,,,,,
